clone	slug	release_tag	asset_name	asset_size	asset_url
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-163	hen.bin\t495456\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-163/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-161	hen.bin\t495456\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-161/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-151	hen.bin\t476128\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-151/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-149	hen.bin\t476128\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-149/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-146	hen.bin\t476096\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-146/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-145	hen.bin\t476096\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-145/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-143	hen.bin\t476096\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-143/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-140	hen.bin\t384028\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-140/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-130	hen.bin\t374460\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-130/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-129	hen.bin\t374460\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-129/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-124	hen.bin\t373244\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-124/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-123	hen.bin\t373244\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-123/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-119	hen.bin\t373148\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-119/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-118	hen.bin\t373084\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-118/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-115	hen.bin\t370396\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-115/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-113	hen.bin\t369852\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-113/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-exploit_fixes-116	hen.bin\t373084\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-exploit_fixes-116/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-exploit_fixes-105	hen.bin\t243292\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-exploit_fixes-105/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-exploit_fixes-104	hen.bin\t243292\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-exploit_fixes-104/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-100	hen.bin\t241020\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-100/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-exploit_fixes-103	hen.bin\t243068\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-exploit_fixes-103/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-exploit_fixes-94	hen.bin\t244188\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-exploit_fixes-94/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-exploit_fixes-93	hen.bin\t244092\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-exploit_fixes-93/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-88	hen.bin\t241820\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-88/hen.bin		
